1,608856
2,92304
3,35894
4,18414
5,10765
6,6728
7,4394
8,3081
9,2152
10,1552
11,1127
12,879
13,726
14,519
15,387
16,324
17,254
18,235
19,196
20,175
21,125
22,130
23,124
24,89
25,85
26,76
27,74
28,75
29,48
30,52
31,43
32,51
33,41
34,26
35,31
36,38
37,26
38,20
39,18
40,21
41,31
42,28
43,30
44,29
45,19
46,20
47,15
48,22
49,14
50,18
51,23
52,22
53,17
54,16
55,18
56,14
57,13
58,19
59,16
60,11
61,9
62,3
63,3
64,10
65,4
66,7
67,5
68,8
69,6
70,6
71,6
72,2
73,6
74,3
75,3
76,1
77,3
79,3
80,2
81,2
82,8
83,3
85,1
86,2
87,3
88,5
89,2
90,2
91,3
94,3
96,3
97,2
98,1
99,2
100,1
102,1
103,1
105,2
106,1
110,2
112,1
115,1
116,2
117,1
119,1
120,1
121,1
124,1
132,1
133,1
134,1
137,1
142,2
146,1
149,1
150,1
155,1
163,1
174,1
178,1
214,1
