4839,1
3717,100
4982,101
5074,102
5061,103
5061,104
5058,105
4974,106
5066,107
4966,108
5048,109
5073,110
5044,111
4980,112
4913,113
5041,114
5174,115
4962,116
5071,117
5062,118
5156,119
4908,12
5010,120
5164,121
5023,122
4996,123
5035,124
4970,125
4955,126
4863,128
5008,129
4873,13
4941,130
5021,131
4887,132
4906,133
4853,134
4917,135
4920,136
5088,137
4999,138
4985,139
4809,14
4995,140
4824,141
4903,142
5016,143
4993,144
5003,145
4943,146
4882,147
4961,148
4928,149
4913,150
4973,151
4982,152
4938,153
4909,154
4883,155
4864,156
4855,157
5002,158
4911,159
4798,160
4858,161
4961,162
4934,163
4880,164
4860,165
4819,166
4802,167
4813,168
4801,169
4916,17
4890,170
4970,171
4553,172
4833,173
5018,174
4885,175
4901,176
4827,177
4837,178
4829,179
4784,18
5022,180
4766,181
4900,182
4951,183
4914,184
5029,185
4911,186
4811,187
4861,188
4908,189
4835,19
5011,190
4809,191
4882,192
4911,193
4956,194
4900,195
4881,196
4926,197
4752,198
4801,199
4781,2
4918,20
4922,200
4884,201
4859,202
4952,203
4880,204
4871,205
4725,206
4971,207
4808,208
4861,209
4883,210
4920,211
4736,212
4895,213
4827,216
4832,217
4982,218
4955,219
4817,220
4784,221
4921,222
4846,223
4760,23
4841,24
4980,25
4965,27
4894,31
4865,32
4915,34
4868,35
4907,36
4801,37
4842,38
4869,39
4823,4
5020,40
4886,41
4954,42
4784,43
4985,44
4832,45
4821,46
4825,47
4877,48
4949,49
4823,5
4819,50
4860,51
4937,52
4939,53
4871,54
4883,57
4945,58
4866,59
4856,60
4799,61
4824,62
4934,63
4912,64
4868,65
4904,66
4910,67
4831,68
4946,69
4970,70
4859,71
5032,72
4899,73
4824,74
4772,75
4858,76
4887,77
4789,78
4877,79
4797,8
4909,80
4887,81
4761,82
4913,83
4879,84
5014,85
4897,86
4874,87
4975,88
4781,89
4736,9
4914,90
4793,91
4847,92
4834,93
4957,94
4942,95
4990,96
5031,97
5056,98
4988,99
